State,household_income_2015
Alabama,1848325
Alaska,250969
Arizona,2412212
Arkansas,1138025
California,12717801
Colorado,2024468
Connecticut,1352583
District of Columbia,273390
Delaware,344022
Florida,7300494
Georgia,3574362
Hawaii,450572
Idaho,589320
Illinois,4786388
Indiana,2501937
Iowa,1236409
Kansas,1113472
Kentucky,1708499
Louisiana,1727919
Maine,553284
Maryland,2166389
Massachusetts,2549721
Michigan,3841148
Minnesota,2124745
Mississippi,1096593
Missouri,2364688
Montana,409394
Nebraska,736613
Nevada,1016709
New Hampshire,520251
New Jersey,3189486
New Mexico,763603
New York,7262279
North Carolina,3775581
North Dakota,299638
Ohio,4585084
Oklahoma,1455321
Oregon,1533430
Pennsylvania,4958859
Puerto Rico,1244202
Rhode Island,410602
South Carolina,1815094
South Dakota,330858
Tennessee,2504556
Texas,9149196
Utah,906292
Vermont,257167
Virginia,3062783
Washington,2668912
West Virginia,740890
Wisconsin,2299107
Wyoming,226865
