,Code,Name
0,45001,Abbeville County
1,45003,Aiken County
2,45005,Allendale County
3,45007,Anderson County
4,45009,Bamberg County
5,45011,Barnwell County
6,45013,Beaufort County
7,45015,Berkeley County
8,45017,Calhoun County
9,45019,Charleston County
10,45021,Cherokee County
11,45023,Chester County
12,45025,Chesterfield County
13,45027,Clarendon County
14,45029,Colleton County
15,45031,Darlington County
16,45033,Dillon County
17,45035,Dorchester County
18,45037,Edgefield County
19,45039,Fairfield County
20,45041,Florence County
21,45043,Georgetown County
22,45045,Greenville County
23,45047,Greenwood County
24,45049,Hampton County
25,45051,Horry County
26,45053,Jasper County
27,45055,Kershaw County
28,45057,Lancaster County
29,45059,Laurens County
30,45061,Lee County
31,45063,Lexington County
32,45067,Marion County
33,45069,Marlboro County
34,45065,McCormick County
35,45071,Newberry County
36,45073,Oconee County
37,45075,Orangeburg County
38,45077,Pickens County
39,45079,Richland County
40,45081,Saluda County
41,45083,Spartanburg County
42,45085,Sumter County
43,45087,Union County
44,45089,Williamsburg County
45,45091,York County
46,22001,Acadia Parish
47,22003,Allen Parish
48,22005,Ascension Parish
49,22007,Assumption Parish
50,22009,Avoyelles Parish
51,22011,Beauregard Parish
52,22013,Bienville Parish
53,22015,Bossier Parish
54,22017,Caddo Parish
55,22019,Calcasieu Parish
56,22021,Caldwell Parish
57,22023,Cameron Parish
58,22025,Catahoula Parish
59,22027,Claiborne Parish
60,22029,Concordia Parish
61,22031,De Soto Parish
62,22033,East Baton Rouge Parish
63,22035,East Carroll Parish
64,22037,East Feliciana Parish
65,22039,Evangeline Parish
66,22041,Franklin Parish
67,22043,Grant Parish
68,22045,Iberia Parish
69,22047,Iberville Parish
70,22049,Jackson Parish
71,22051,Jefferson Parish
72,22053,Jefferson Davis Parish
73,22059,La Salle Parish
74,22055,Lafayette Parish
75,22057,Lafourche Parish
76,22061,Lincoln Parish
77,22063,Livingston Parish
78,22065,Madison Parish
79,22067,Morehouse Parish
80,22069,Natchitoches Parish
81,22071,Orleans Parish
82,22073,Ouachita Parish
83,22075,Plaquemines Parish
84,22077,Pointe Coupee Parish
85,22079,Rapides Parish
86,22081,Red River Parish
87,22083,Richland Parish
88,22085,Sabine Parish
89,22087,St. Bernard Parish
90,22089,St. Charles Parish
91,22091,St. Helena Parish
92,22093,St. James Parish
93,22095,St. John the Baptist Parish
94,22097,St. Landry Parish
95,22099,St. Martin Parish
96,22101,St. Mary Parish
97,22103,St. Tammany Parish
98,22105,Tangipahoa Parish
99,22107,Tensas Parish
100,22109,Terrebonne Parish
101,22111,Union Parish
102,22113,Vermilion Parish
103,22115,Vernon Parish
104,22117,Washington Parish
105,22119,Webster Parish
106,22121,West Baton Rouge Parish
107,22123,West Carroll Parish
108,22125,West Feliciana Parish
109,22127,Winn Parish
110,51001,Accomack County
111,51003,Albemarle County
112,51510,Alexandria city
113,51005,Alleghany County
114,51007,Amelia County
115,51009,Amherst County
116,51011,Appomattox County
117,51013,Arlington County
118,51015,Augusta County
119,51017,Bath County
120,51515,Bedford city
121,51019,Bedford County
122,51021,Bland County
123,51023,Botetourt County
124,51520,Bristol city
125,51025,Brunswick County
126,51027,Buchanan County
127,51029,Buckingham County
128,51530,Buena Vista city
129,51031,Campbell County
130,51033,Caroline County
131,51035,Carroll County
132,51036,Charles City County
133,51037,Charlotte County
134,51540,Charlottesville city
135,51550,Chesapeake city
136,51041,Chesterfield County
137,51043,Clarke County
138,51570,Colonial Heights city
139,51580,Covington city
140,51045,Craig County
141,51047,Culpeper County
142,51049,Cumberland County
143,51590,Danville city
144,51051,Dickenson County
145,51053,Dinwiddie County
146,51595,Emporia city
147,51057,Essex County
148,51059,Fairfax County
149,51600,Fairfax city
150,51610,Falls Church city
151,51061,Fauquier County
152,51063,Floyd County
153,51065,Fluvanna County
154,51620,Franklin city
155,51067,Franklin County
156,51069,Frederick County
157,51630,Fredericksburg city
158,51640,Galax city
159,51071,Giles County
160,51073,Gloucester County
161,51075,Goochland County
162,51077,Grayson County
163,51079,Greene County
164,51081,Greensville County
165,51083,Halifax County
166,51650,Hampton city
167,51085,Hanover County
168,51660,Harrisonburg city
