state_id,state_name,state_abr,lifeQualityRank,healthCareRank,educationRank,economyRank
0,Alabama,AL,49,46,50,45
1,Alaska,AK,44,25,47,46
2,Arizona,AZ,34,23,40,10
3,Arkansas,AR,45,49,42,43
4,California,CA,19,7,21,4
5,Colorado,CO,10,12,11,1
6,Connecticut,CT,21,3,12,30
7,Delaware,DE,23,15,23,17
8,Florida,FL,13,29,3,9
9,Georgia,GA,17,39,30,11
10,Hawaii,HI,24,1,29,40
11,Idaho,ID,16,26,33,6
12,Illinois,IL,35,22,19,41
13,Indiana,IN,36,40,24,28
14,Iowa,IA,14,20,9,32
15,Kansas,KS,22,33,15,36
16,Kentucky,KY,40,44,38,39
17,Louisiana,LA,50,45,48,49
18,Maine,ME,32,19,28,37
19,Maryland,MD,6,8,13,26
20,Massachusetts,MA,8,2,1,7
21,Michigan,MI,33,24,37,19
22,Minnesota,MN,3,10,17,18
23,Mississippi,MS,48,50,46,48
24,Missouri,MO,28,41,27,23
25,Montana,MT,29,28,26,22
26,Nebraska,NE,9,27,6,21
27,Nevada,NV,37,31,45,8
28,New Hampshire,NH,2,16,5,13
29,New Jersey,NJ,12,6,2,31
30,New Mexico,NM,46,34,49,47
31,New York,NY,25,13,22,33
32,North Carolina,NC,18,30,25,14
33,North Dakota,ND,15,38,20,35
34,Ohio,OH,39,35,31,38
35,Oklahoma,OK,43,47,39,34
36,Oregon,OR,27,17,36,5
37,Pennsylvania,PA,41,21,32,44
38,Rhode Island,RI,26,5,41,20
39,South Carolina,SC,42,36,43,16
40,South Dakota,SD,20,32,18,27
41,Tennessee,TN,30,43,35,12
42,Texas,TX,38,37,34,15
43,Utah,UT,4,9,10,2
44,Vermont,VT,5,11,8,29
45,Virginia,VA,7,18,7,25
46,Washington,WA,1,4,4,3
47,West Virginia,WV,47,48,44,50
48,Wisconsin,WI,11,14,14,24
49,Wyoming,WY,31,42,16,42
