,NAME,ADDRESS,CITY,STATE,ZIP,OWNER,BEDS,RATING
0,HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,1700 JAMES BOWIE DRIVE,BAYTOWN,TX,77520,NON-PROFIT,182.0,4.5
1,"WOODS AT PARKSIDE,THE",349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,PROPRIETARY,50.0,4.1
2,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,NON-PROFIT,155.0,4.0
3,VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,BOARDMAN,OH,44512,PROPRIETARY,45.0,4.6
4,HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,"ONE ELIZABETH PLACE,E3 SUITE A",DAYTON,OH,45417,PROPRIETARY,32.0,2.5
5,CHG CORNERSTONE HOSPITAL OF OKLAHOMA,"1900 GORDON COOPER DRIVE,2ND FLOOR",SHAWNEE,OK,74801,PROPRIETARY,34.0,4.3
6,MARY HURLEY HOSPITAL,6 NORTH COVINGTON AVENUE,COALGATE,OK,74538,NON-PROFIT,20.0,3.7
7,TRINITY HOSPITALS,1 W BURDICK EXPY,MINOT,ND,58701,NON-PROFIT,251.0,2.3
8,LIFEBRITE COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY NORTH,DANBURY,NC,27016,PROPRIETARY,93.0,3.1
9,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,16750 RED OAK DR,HOUSTON,TX,77090,PROPRIETARY,16.0,4.0
10,MCCALLEN MEDICAL CENTER,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,PROPRIETARY,441.0,4.0
11,PRAIRIE SAINT JOHN'S,510 4TH STREET SOUTH,FARGO,ND,58103,PROPRIETARY,110.0,2.2
12,FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,JACKSBORO,TX,76458,PROPRIETARY,17.0,3.6
13,COVENANT MEDICAL CENTER - LAKESIDE,4000 24TH STREET,LUBBOCK,TX,79410,NON-PROFIT,196.0,4.0
14,WOODLANDS SPECIALTY HOSPITAL PLLC,25440 I 45 NORTH,THE WOODLANDS,TX,77386,PROPRIETARY,6.0,3.0
15,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,NON-PROFIT,557.0,2.6
16,THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,CORPUS CHRISTI,TX,78410,PROPRIETARY,89.0,3.3
17,REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVE,BIG LAKE,TX,76932,GOVERNMENT - DISTRICT/AUTHORITY,7.0,3.0
18,BAYLOR EMERGENCY MEDICAL CENTER,"1975 ALPHA,SUITE 100",ROCKWALL,TX,75087,PROPRIETARY,8.0,2.7
19,BAYLOR EMERGENCY MEDICAL CENTER,"620 SOUTH MAIN,SUITE 100",KELLER,TX,76248,PROPRIETARY,8.0,2.7
20,BAYLOR EMERGENCY MEDICAL CENTER,"12500 SOUTH FREEWAY,SUITE 100",BURLESON,TX,76028,PROPRIETARY,8.0,2.7
21,BAYLOR EMERGENCY MEDICAL CENTER,"1776 NORTH US 287,SUITE 100",MANSFIELD,TX,76063,PROPRIETARY,8.0,2.7
22,TRINITY HOSPITAL - SAINT JOSEPHS,407 3RD STREET SOUTHEAST,MINOT,ND,58701,NON-PROFIT,251.0,1.9
23,BAYLOR EMERGENCY MEDICAL CENTER,5500 COLLEYVILLE BOULEVARD,COLLEYVILLE,TX,76034,PROPRIETARY,8.0,2.7
24,MEDICAL CENTER OF ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,PROPRIETARY,55.0,2.5
25,TEXAS HEALTH HOSPITAL CLEARFORK,5400 CLEARFORK MAIN ST,FORT WORTH,TX,76109,NON-PROFIT,54.0,4.2
26,SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,SAN ANGELO,TX,76905,NON-PROFIT,108.0,5.0
27,DETAR NORTH,101 MEDICAL DRIVE,VICTORIA,TX,77904,PROPRIETARY,115.0,4.4
28,CENTRA LYNCHBURG GENERAL HOSPITAL,1901 TATE SPRINGS ROAD,LYNCHBURG,VA,24501,NON-PROFIT,385.0,2.2
29,SHELTERING ARMS REHABILITATION HOSPITAL,8254 ATLEE ROAD,MECHANICSVILLE,VA,23116,NOT AVAILABLE,40.0,N/A
30,WINCHESTER REHABILITATION CENTER,333 WEST CORK STREET,WINCHESTER,VA,22601,NOT AVAILABLE,-999.0,3.3
31,SENTARA RMH MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,NON-PROFIT,238.0,2.7
32,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,NON-PROFIT,116.0,2.5
33,VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,759 SOUTH MAIN STREET,WOODSTOCK,VA,22664,NON-PROFIT,25.0,2.6
34,NAVOS,2600 SW HOLDEN STREET,SEATTLE,WA,98168,NON-PROFIT,40.0,2.1
35,WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DR,DECATUR,TX,76234,GOVERNMENT - DISTRICT/AUTHORITY,99.0,2.7
36,NORFOLK REGIONAL CENTER,1700 NORTH VICTORY RD,NORFOLK,NE,68701,GOVERNMENT - STATE,150.0,5.0
37,CHI HEALTH ST MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,NON-PROFIT,18.0,4.0
38,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,NON-PROFIT,111.0,2.6
39,FAITH REGIONAL HEALTH SERVICES EAST CAMPUS,1500 KOENIGSTEIN AVE,NORFOLK,NE,68701,NON-PROFIT,20.0,3.0
40,GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,NON-PROFIT,116.0,2.3
41,ST JOSEPH'S HOSPITAL AND HEALTH CENTER,2500 FAIRWAY STREET,DICKINSON,ND,58601,NON-PROFIT,25.0,N/A
42,ST. LUKE'S REHABILITATION,600 N. ROBBINS ROAD,BOISE,ID,83702,NON-PROFIT,-999.0,N/A
43,ST. LUKE'S MERIDIAN MEDICAL CENTER,520 S. EAGLE ROAD,MERIDIAN,ID,83642,NON-PROFIT,-999.0,3.0
44,ST. LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,NON-PROFIT,604.0,5.0
